Index,Array 1,Array 2,,
0,214,215,16,25
1,214,214,16,16
2,215,214,25,16
3,221,221,121,121
6,220,202,100,64
7,215,213,25,9
8,208,205,4,25
9,208,209,4,1
10,212,226,4,256
11,210,202,0,64
12,211,213,1,9
13,210,205,0,25
14,209,209,1,1
15,209,209,1,1
16,203,195,49,225
17,208,226,4,256
18,209,209,1,1
19,214,217,16,49
20,214,213,16,9
21,211,202,1,64
22,210,209,0,1
23,209,209,1,1
24,209,209,1,1
25,211,217,1,49
26,210,205,0,25
27,210,205,0,25
28,211,213,1,9
29,208,195,4,225
30,208,209,4,1
31,209,209,1,1
32,211,213,1,9
33,211,209,1,1
34,207,195,9,225
35,211,226,1,256
36,211,209,1,1
37,211,209,1,1
38,208,202,4,64
39,210,217,0,49
40,210,209,0,1
41,208,202,4,64
42,209,213,1,9
43,209,209,1,1
44,211,217,1,49
45,211,209,1,1
46,210,209,0,1
47,206,202,16,64
48,206,202,16,64
49,203,202,49,64
50,208,208,4,4
51,211,213,1,9
52,211,209,1,1
53,209,205,1,25
54,209,209,1,1
55,210,213,0,9
56,210,209,0,1
57,208,205,4,25
58,209,213,1,9
59,209,213,1,9
60,208,205,4,25
61,208,209,4,1
62,207,205,9,25
63,210,221,0,121
64,212,213,4,9
65,210,202,0,64
66,207,205,9,25
67,210,221,0,121
68,210,209,0,1
69,207,198,9,144
70,207,198,9,144
71,199,198,121,144
72,204,226,36,256
73,213,217,9,49
74,213,213,9,9
75,212,209,4,1
76,209,209,1,1
77,202,195,64,225
78,206,221,16,121
79,206,205,16,25
80,207,209,9,1
81,207,209,9,1
82,207,205,9,25
83,204,195,36,225
84,206,213,16,9
85,214,226,16,256
86,209,191,1,361
87,211,221,1,121
88,210,205,0,25
89,206,205,16,25
90,207,213,9,9
91,208,209,4,1
92,208,209,4,1
93,209,209,1,1
94,212,213,4,9
95,210,202,0,64
96,211,213,1,9
97,210,205,0,25
98,214,230,16,400
99,212,205,4,25
100,206,205,16,25
101,203,202,49,64
102,207,221,9,121
103,207,221,9,121
104,207,205,9,25
105,201,182,81,784
106,203,209,49,1
107,211,221,1,121
108,212,213,4,9
109,211,209,1,1
110,207,198,9,144
111,211,226,1,256
112,211,209,1,1
113,210,209,0,1
114,210,209,0,1
115,211,213,1,9
116,210,205,0,25
117,209,209,1,1
118,210,213,0,9
119,208,202,4,64
120,209,213,1,9
121,208,202,4,64
122,208,209,4,1
123,207,202,9,64
124,211,226,1,256
125,211,226,1,256
126,215,217,25,49
127,212,202,4,64
128,213,217,9,49
129,213,213,9,9
130,210,198,0,144
131,200,198,100,144
132,200,202,100,64
133,203,209,49,1
134,215,235,25,625
135,215,235,25,625
136,211,195,1,225
137,214,226,16,256
138,210,195,0,225
139,212,221,4,121
140,213,213,9,9
141,221,221,121,121
142,221,221,121,121
143,216,198,36,144
144,202,202,64,64
145,197,195,169,225
146,197,195,169,225
147,212,235,4,625
148,212,235,4,625
149,209,195,1,225
150,210,213,0,9
151,210,209,0,1
152,214,230,16,400
153,210,195,0,225
154,209,209,1,1
155,204,202,36,64
156,206,213,16,9
157,206,205,16,25
158,206,205,16,25
159,203,195,49,225
160,206,217,16,49
161,215,217,25,49
162,212,198,4,144
163,214,221,16,121
164,213,209,9,1
165,215,221,25,121
166,210,191,0,361
167,209,209,1,1
168,209,209,1,1
169,209,209,1,1
170,210,213,0,9
171,206,191,16,361
172,209,221,1,121
173,219,221,81,121
174,215,198,25,144
175,211,209,1,1
176,205,202,25,64
177,207,213,9,9
178,212,213,4,9
179,212,213,4,9
180,211,205,1,25
181,211,213,1,9
182,211,209,1,1
183,210,209,0,1
184,214,230,16,400
185,213,209,9,1
186,206,191,16,361
187,205,205,25,25
188,206,209,16,1
189,205,202,25,64
190,205,202,25,64
191,206,209,16,1
192,210,217,0,49
193,215,217,25,49
194,214,209,16,1
195,209,205,1,25
196,209,205,1,25
197,206,205,16,25
198,207,209,9,1
199,209,209,1,1
200,208,202,4,64
201,208,202,4,64
202,202,198,64,144
203,204,213,36,9
204,211,213,1,9
205,211,209,1,1
206,209,205,1,25
207,206,205,16,25
208,208,217,4,49
209,207,202,9,64
210,200,188,100,484
211,206,230,16,400
212,206,230,16,400
213,206,205,16,25
214,209,221,1,121
215,205,188,25,484
216,206,209,16,1
217,211,221,1,121
218,208,198,4,144
219,212,226,4,256
220,211,205,1,25
221,211,213,1,9
222,211,209,1,1
223,211,209,1,1
224,207,195,9,225
225,206,205,16,25
226,208,217,4,49
227,207,205,9,25
228,207,209,9,1
229,208,209,4,1
230,207,205,9,25
231,212,230,4,400
,,,14.80349345,89.96069869
,,,3.8,
